day,time,agent_id,feed_items,relational_items,personalized_items,headline_items,stance_score,toxicity_score,misinformation_risk,cross_viewpoint_exposure,intervention_reward
1,06:33,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,09:07,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,10:43,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,10:58,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,13:29,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,15:54,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,17:43,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,19:35,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,21:49,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,06:36,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,09:18,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,09:33,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
